,Headlines,label
7878,Sudan may allow joint UN/AU forces in Darfur,-1
10809,After a Goalie Steps In,-1
608,"FBI recruits for ""War on Porn""",-1
10205,Deal Is Reached to Keep Boston Sailing Show Afloat,-1
9142,"Police have one week to question terror suspect caught in Bristol, UK",-1
15953,A Reality Check on Mortgage Modification,-1
5291,Who Says Innovation Belongs to the Small?,-1
3055,U.S. Congress passes CAFTA with 2 vote House margin,-1
2572,Strong Finish Gives Boston University Its 29th Beanpot Title,-1
15765,Osama bin Laden to release message to US on six year anniversary of 9/11,-1
12702,"Military plane crash in Iran, at least 100 dead",-1
5808,Groundhog predicts 6 more weeks of winter weather for US,-1
7837,Disdery Hombo & Tatyana Perepelkina win the 2008 Taipei International Express Marathon,-1
517,"Poker's all about luck, says Swiss Supreme Court",-1
1631,Clinton wins West Virginia Democratic primary,-1
6655,"Explosion, fire on guided missile cruiser USS Leyte Gulf injures five",-1
3995,"For Nuggets and Mavericks, Squabbles and Series Will Continue",-1
8125,Pakistan opposition parties form coalition,-1
12555,Finnish terrestrial analogue TV network shut down,-1
11594,Uzbekistan arms depot explosions leave three dead,-1
15450,"Australian Prime Minister blames asylum seekers for ""Children Overboard"" scandal",-1
7476,US Food and Drug Administration proposes new regulations on sunscreen labeling,-1
2580,Behind the Profits Lies Trouble for 2 Bank Giants,-1
7134,Appeals Court Rejects Suit by Protesters,-1
11670,Hamas Sees Cease-Fire Within Days; Israel Demurs,-1
3602,7.0 magnitude earthquake strikes off Japanese coast,-1
14993,200 candles: Chileans celebrate country's Bicentennial,-1
10937,NATO Cautions Pakistan Over Talks with the Taliban,-1
6787,Blake Griffin and Tyler Hansbrough Prepare to Meet,-1
9082,"'Have them all shot': BBC gets 21,000+ complaints over Jeremy Clarkson's public sector striker comments",-1
7730,"Hidden in Plain Sight, a Bigger Shell on a Snail Facing a New Predator",-1
2835,Wikipedia publishes 10 millionth article,-1
10409,Corby's star witness convicted of rape,-1
11884,"Shares Fall, and Dollar Hits Low Against Euro",-1
6659,SpaceX launches first Falcon 9 rocket,-1
2484,Pakistan civilian government unites in a coalition to impeach President Pervez Musharraf,-1
8861,United States Navy ordered to Somalian coast,-1
6178,Suspected US drone attack kills eight in Pakistan,-1
3800,Bombings in Iraq Kill 11 People,-1
4762,"Fiji ""running out of patience"" with Vanuatu over ban on Fijian biscuits",-1
3573,Zimbabwe bound Chinese arms ship heads for Angola,-1
1924,'Unacceptable' and 'without foundation': Poland rejects Russian air crash report,-1
6589,"Waving a Hand, Trying to Be Noticed in the Stimulus Rush",-1
6869,Brush fire starts in Hawaii's Makua Valley,-1
3426,2008 Leisure Taiwan: Safety first before sporting,-1
3988,"In Recession, Strategy Shifts for Big Chains",-1
14227,Former PM Thaksin returns to Thailand,-1
2876,Explosion injures 11 in Beirut,-1
3795,Australian remake of Iron Chef launched,-1
15050,$500 Million for Tribes,-1
14142,Canadian MP crosses from Conservative to Liberal party,-1
14052,Hot Debate Gives Way to Embrace of Obama,-1
41,Yankees Profit From Their Own Seventh-Inning Stretch,-1
14941,"Bit by Careful Bit, Obama Toughens Stance on Iran",-1
11126,Hong Kong by-elections start,-1
10511,Football: Ronaldo to play for Corinthians,-1
14889,Icelandic Landsbanki Íslands earnings on the increase,-1
1591,German BND claims U.S. exaggerated Iraq WMD claims,-1
8710,"Large chimpanzee shot and killed by police in US after it attacks woman, officers",-1
8253,"Skirting Thorniest Issues, Turkey and Armenia Move to Ease Tensions",-1
14352,"As Browsers Battle, Consumers Win",-1
8926,European Shares Fall on Gloomy Report,-1
4587,Suicide bombers close Pakistani schools,-1
14690,New South Wales Premier criticised over government structure,-1
10970,Narathiwat raid recovers stolen weapons,-1
817,WHO director: Pandemic alert level will not be raised,-1
5882,"Flash flooding kills fourteen hikers near Chongqing, China",-1
14709,"Fair Hearing Ordered in Iran for Appeal by Reporter, Saberi",-1
10392,Kimi Räikkönen will start from pole of 2007 Australian GP,-1
8601,"UConn Rolls Into Round of 8, but Only After a Test",-1
7603,United States Government loses AAA credit rating from Standard and Poor's,-1
10797,Germany Bars Genetically Modified Corn,-1
8032,Iran Preparing Response to Nuclear Talks Offer,-1
14680,"Franken Had Most Votes, Court Says",-1
6848,U.S. accuses China of developing space warfare,-1
2644,Four jackpot winners confirmed in US 'Mega Millions' lottery drawing,-1
15281,Highway billboard gives Moscow drivers an unexpected show,-1
14441,Outcry on Federal Same-Sex Benefits,-1
10183,Longest Serving Cricket Umpire to Retire,-1
2062,Politics in the Guise of Pure Science,-1
1244,Reaction to Ken Livingstone suspension,-1
7290,Cardinals Reach a Summit That the Steelers Know Well,-1
13723,J.C. Flowers Has No Allies in Battle Over Hypo Real Estate,-1
5112,Former IOC President Samaranch dies at 89,-1
9700,Bloggers and Unions Join Forces to Push Democrats to Left,-1
466,Uganda introduces anti-homosexual legislation,-1
10512,French Strikers  Hang On as Crisis Tatters  Labor-Management Ties,-1
12294,More than 100 reported dead after Syrian troops move against protesters,-1
637,Doping Rules Vague About New Medical Procedure,-1
7032,"Judge Sets Bail for Stanford at $500,000",-1
1948,Lawmakers Push Interrogation Inquiries,-1
10009,Loss and Injuries Are Body Blows for Yankees,-1
12821,Terrorism Alleged in Policeman Killing in Athens,-1
1223,Former teacher in France surrenders after holding 22 hostage in school,-1
8865,"Boat in DR Congo capsizes, 80 feared dead",-1
12324,"Feeling Secure, Some Banks Want to Be Left Alone",-1
11924,"As East and West Pull on Moldova, Loyalties and Divisions Run Deep",-1
2012,South African cricket team in Zimbabwe 2007 - 1st ODI,-1
15464,Atomic Agency Fails to Elect New Head,-1
7713,"Bankruptcy Is a Possibility for Opel, Official Says",-1
14055,Michael Jackson found 'not guilty' on all counts,-1
5412,Jeter Sits Out Against Blue Jays,-1
7934,California company recalls fresh spinach over salmonella contamination,-1
8121,"For Knicks, Best Defense Is a Really Good Offense",-1
13565,"40 Years on, Reflections in a Sliver of the Moon",-1
5029,Pitched Battle Between Bears and Bulls on Wall St.,-1
9836,NASA denies rumors of finding life on Mars,-1
12590,Tibetan Monks and Nuns Turn Their Minds Toward Science,-1
7971,African Union considers proposal to resettle Haitians,-1
14181,McCain and Obama face off in U.S. presidential candidate debate,-1
6358,Police Officers Are Charged in Venezuelan Synagogue Attack,-1
4307,Afghan Run in Cup Ends Just Short of Its Goal,-1
8033,U.S. and European Officials Discuss Detainees,-1
2249,New Rules on Doctors and Medical Firms Amid Ethics Concerns,-1
9170,UK markets up despite London incident,-1
4097,Cycling Ready to Use Blood Profiles to Fight Doping,-1
9128,Austrian students' protests expanding through Europe,-1
8957,Study Measures the Chatter of the News Cycle,-1
5843,Revenue Rose 12% in Quarter for Verizon Wireless,-1
9566,Burris Says Audiotape Confirms Innocence,-1
13095,Striking NYC transit workers will return to jobs,-1
736,Medvedev Visits Newspaper of Slain Journalists,-1
1679,Sanford Apologizes to Cabinet Members,-1
1099,Oak Park and neighbors to study Les Golden's intergovernmental cooperation proposals,-1
13387,Obama Condemns Iranian Crackdown,-1
8779,2 Workers Shot to Death at a Virginia Resort,-1
13892,Geithner Defends His Approach to Banking Rescue,-1
10274,10 billionth song downloaded from Apple's iTunes Store,-1
14098,"Bomb explodes in central Athens, Greece; no injuries reported",-1
10903,Sense of Triumph Eludes Israelis Near Gaza Border,-1
5148,Iranian president sends letter to Pope Benedict XVI,-1
8441,"Ottawa 67's lose to Saginaw Spirit, 7-5",-1
6496,China: 'the Dalai Lama is scheming to take the Beijing Olympics hostage',-1
1578,UN emphasizes importance of women's health in Africa,-1
6691,"Gen. Petraeus, Amb. Crocker testify before US Armed Services Committee",-1
7549,Former Astronaut Bolden to Be Interviewed for Top NASA Job,-1
4786,"Helicopter Plan Is Excessive, Obama and McCain Agree",-1
6059,Discounts Force Restaurants to Eat  Their Own Lunch,-1
7721,Former US Secretary of State Alexander Haig dies at age 85,-1
1505,Boorishness Works for Berlusconi,-1
13768,Aircraft makes emergency landing at Edinburgh Airport,-1
14041,Las Vegas Sags as Conventions Cancel,-1
15020,Tamil party drops commitment to independence from Sri Lanka,-1
12365,Pirates hijack Thai merchant ship off Somali coast,-1
758,Apple cancels NBC Fall TV lineup on iTunes,-1
2496,UN nuclear chief says negotiations with Iran at 'dead end',-1
3633,Football: Fulham FC sacks coach Chris Coleman,-1
15836,Ousted Honduran president Zelaya says coup talks suspended,-1
12512,Iraq starts manual vote recount,-1
13420,Obama Voices Optimism on the Economy,-1
9873,Big 12 Powers Oklahoma and Baylor Roll,-1
9287,China Orders Patches to Planned Web Filter,-1
13192,Costco Accused of Abusing Wage Law,-1
6110,2008 Leisure Taiwan launched in Taipei World Trade Center,-1
15432,"Seek a Lost Ball, and Ye Shall Find",-1
4521,Pink Floyd will reunite to play London's Live 8,-1
6186,American actor Arnold Stang dies at age 91,-1
327,Layers of Armed Forces Wielding Power of Law,-1
6313,73M-year-old fossilized fish found in Canada,-1
15276,Guyana president's libel case heard in court,-1
5149,Election of new 7 wonders of the world: deadline approaching,-1
15016,54 killed by suicide bomber at Musayyib gas station,-1
13719,"Disease scare in south Sudan, aid groups return",-1
3548,Many infertile American women want sex selection,-1
10808,Tennis Career Thrives,-1
8185,Speedskating Provided Marsicano a Refuge From Bullying and Depression,-1
12733,"Death toll in Musayyib, Iraq fuel tanker blast rises to 98",-1
14571,"Apple to hold media event on September 1, may update iPods and Apple TV",-1
9024,Afghanistan general Stanley McChrystal cleared of wrongdoing,-1
12106,Former Pennsylvania State Senator Convicted in Fraud Case,-1
12415,A Good Time to Remember Investment Fundamentals,-1
14263,Chomsky book banned from Guantanamo Bay,-1
12317,Lance Stephenson Helps Lincoln Win P.S.A.L. Title Again,-1
2642,Typhoon kills two in southern China,-1
10137,Ex-Soldier Gets Life Sentence for Iraq Murders,-1
15008,Would-Be Parents Find Surrogate Agency Closed,-1
3384,15 confirmed dead after Iraq bombing,-1
2307,Cost of Borrowing Zooms Higher for Corporations,-1
14453,The Times Company Suspends Its Dividend,-1
11506,Xstrata Makes a New Move for Merger With Anglo,-1
13250,"Australia, Malaysia closing in on refugee agreement",-1
15344,Switzerland citizens vote Yes to freedom of circulation to new EU states,-1
966,Stone Age Flutes Found in Germany Offer Clues to Early Music,-1
15912,Resolution on Obama Stirs Debate,-1
8201,Gangs Said to Contact Politicians,-1
1421,China Reports Falling Prices and  Low Demand,-1
1172,Tiny French Town Mourns Triple Loss in Jet Crash,-1
10497,Reading the Brains of Pigeons in Flight,-1
1871,Search and rescue beacons soon to make the digital jump,-1
15560,"Philadelphia Flyers beat Montreal Canadiens, 3-2",-1
258,CNN typo mixes up prospective U.S. presidential candidate with Osama bin Laden,-1
4417,More Questions Than Answers at French Open Draw,-1
12609,Industry Ignored Its Scientists on Climate,-1
2390,An Overseer of Medical Trials Comes Under Fire,-1
6301,"Wikinews interviews Joe Schriner, Independent U.S. presidential candidate",-1
9503,China lifts ban on non-Chinese versions of Wikipedia,-1
13380,Fox News Primes for the Obama Administration,-1
1090,US extradition request blocked by Dutch court,-1
4,Large earthquake rattles Indonesia; Seventh in two days,-1
10254,Rescuers hunt Brazilian plane carrying four UK passengers,-1
11865,Laid-Off Foreigners Flee as Dubai Spirals Down,-1
9908,The King's Speech wins People's Choice Award at 2010 Toronto Film Festival,-1
12140,Magnitude 6.3 earthquake hits New Zealand's South Island; dozens dead,-1
10594,British voice artist Roy Skelton dies at age 79,-1
1727,U.S.-China Military Talks Resume,-1
2084,Falcon 1 rocket fails during third launch attempt,-1
15334,LTTE strikes Sri Lanka capital,-1
11320,UK children's charities announce merger,-1
12511,Verizon says customer phone records were not handed over to the NSA,-1
11499,"Deep in Bedrock, Clean Energy and Quake Fears",-1
4100,Pink elephant spotted in Botswana,-1
6500,"In Charming Argentine Voters, TV Show and Impersonator May Help a Candidate",-1
14251,"For Refugees, Recession Makes Hard Times Even Harder",-1
11616,"Ambidextrous children more likely to have problems at school, say researchers",-1
13962,Man charged in £26.5m robbery,-1
14835,An MGM Partner Sues Over Project,-1
3312,"As His Fans Stay Late, Andy Murray Stays Alive at Wimbledon",-1
366,Obama Defends Agenda as More Than Recession,-1
4485,Bosnia Serbs and Envoy Are at Odds on Powers,-1
5944,"Sandy Allen, world's tallest woman dies at age 53",-1
12502,Renowned Indian guru Śrī Satya Sai Baba dies aged 84,-1
10910,News of the World: New document suggests cover-up,-1
4317,Scottish Premier League: Celtic thump Hearts 5-0,-1
5807,Julian McGauran makes rude gesture to Australian Senate,-1
280,Gift of footballs from United States offends Afghans inadvertently,-1
1339,UN accuses Australia of 'demonising asylum seekers',-1
4772,6.2 magnitude earthquake hits northern Chile,-1
5847,Death of 4000th U.S. soldier in Iraq shines spotlight on gays in the military,-1
7621,MySpace loses over ten million users in one month,-1
15107,Gunman holds hostage in U.S. television station offices,-1
5947,New Beta Version of MSN Search Service from Microsoft released,-1
5064,'Top Model' winner Jaslene Gonzalez on her career and being a Latina role model,-1
11426,Hurricane Wilma still a Category 5 threat,-1
9207,"All change for Nottingham, England trams as new operator announced",-1
15170,Japan Readies Missile Interceptors,-1
14838,Peace of Mind From the Whiff of Bleach,-1
10435,"Michael Brown, Director of FEMA resigns",-1
15763,FDA issues proposed rules requiring calorie content on menus,-1
2645,Manager of Lake Shore Hedge Fund Indicted,-1
9176,"UN report says number of ""abject poor"" tripled in Gaza",-1
356,Indian Army celebrates Victory Day on 35th Anniversary of Bangladeshi Liberation,-1
3766,Egypt to open Gaza Strip crossing for humanitarian and medical aid,-1
12688,Canadian PM announces funding for US-Canada bridge crossing,-1
4060,Wikinews interviews on contributions to open-source: Opera,-1
12716,13th Annual Beverly Hills film festival opens,-1
1166,California Lawmakers Struggle to Strike Budget Deal,-1
6957,"Use Energy, Get Rich and Save the Planet",-1
9373,Former professional wrestler Giant González dies aged 44,-1
7435,Philippine impeachment unlikely to succeed,-1
2799,UBS Revises Its Loss and Offers a Warning,-1
5227,Gbagbo appears at international court for alleged crimes against humanity,-1
6228,Madoff Accountant Faces Charges,-1
14904,"Brazilian President party received money from FARC, say documents",-1
12016,Tucson Citizen to Print Last Paper Saturday,-1
1966,Obama Lobbies for Release of Second Half of Bailout,-1
13358,US Senate debates Rove and intelligence access,-1
9778,Beijing 2008: Michael Phelps wins eighth gold,-1
9722,The Perils and Pleasures of Entrepreneurship,-1
7128,Lewis Hamilton wins 2008 Monaco Grand Prix,-1
9959,Scottish based game-developer Realtime Worlds enters administration,-1
4883,Four Israeli Arabs killed by Army deserter,-1
15500,Athletes Say Drug-Test Rule Violates Right to Privacy,-1
8947,Formula 1 new team USF1 sponsored by YouTube co-founder,-1
11746,"UN General Assembly approves measures to protect economic, social and cultural rights",-1
12006,SanDisk Offers Flash Drive to Simplify Backups,-1
10504,Donald Trump reacts to 'Pimp' comments,-1
12103,'Mobile phone dermatitis' linked to nickel deposits,-1
8297,Ex-Leader of Liberia Cites C.I.A. in Jailbreak,-1
5633,Dozens injured by sudden change in altitude on Qantas jet,-1
10361,Varun Gandhi charged for inciting community tensions,-1
5569,US President George W. Bush's daughter announces engagement,-1
14093,New Border Fear: Violence by a Rogue Militia,-1
7141,Diet Coke advert featuring singer Duffy cleared by advertising watchdog,-1
3685,Helen Thomas probes White House on torture; online community sends flowers,-1
3562,Limiting Deductions on Charity Draws Ire,-1
7969,Ingmar Bergman dies at age 89,-1
9399,Oklahoma Goes for a Triple,-1
1775,U.S. to Use Bailout Repayments to Aid Small Banks,-1
6101,Arthur Nadel Is Indicted for Investment Fraud,-1
12664,Sandbox:Howie test 1,-1
9511,Communists protest arrest of FARC chancellor Rodrigo Granda,-1
5710,68 pieces of luggage found behind Texas pet store,-1
15493,"Jonathan Coulton, Non-Rock Star, Needs a Roadie",-1
2085,Canada wins gold at 2007 IIHF World Junior Ice Hockey Championship,-1
7761,"Benet Academy, Illinois students support classmate with leukemia",-1
12953,"Cloned cattle's milk and meat seem safe, according to new study",-1
11726,Strongest earthquake in 150 years hits Costa Rica,-1
8036,Angry Azeris protest allegedly faked results of parliamentary elections,-1
5498,Parents of Terri Schiavo to sell list of supporters to marketing firm,-1
2745,CTV acquires rights to 'The Hockey Theme',-1
12272,Deadly Herpes Virus Strikes Asian Elephants,-1
11253,Former ECB chief Wim Duisenberg dies,-1
15018,Chief Executives Are Growing More Pessimistic,-1
7597,All Ferrari front row on 2006 United States Grand Prix,-1
12559,Robbie Williams rejoins British musical group Take That,-1
782,A Choice for Drug Czar,-1
5427,'Guantanamo'-style detention facility under construction on Australian Island,-1
7816,CanadaVOTES: Liberal David Remington running in Lanark—Frontenac—Lennox & Addington,-1
9423,Fall sweeps through Texas,-1
1404,US FAA to make airliner fuel tank inertion mandatory over 1996 air disaster,-1
3168,Plea Deal Ends Sexual Abuse Case Against Federal Judge in Texas,-1
8167,Turkey bans pro-Kurdish party,-1
13915,"Tee Box by the Sea: At No. 9, 449 Yards and a Panorama",-1
11044,Serie A 2008–09: Zambrotta joins AC Milan,-1
6413,Concert for Holocaust Survivors Is Condemned,-1
13825,Iran nuclear talks enter third day,-1
8438,Las Vegas 'chili finger' woman has history of lawsuits,-1
3202,"Amid Rubble of Housing Bust, Phoenix Begins a New Frenzy",-1
197,"Japanese survivor of both Hiroshima and Nagasaki atomic bombings dies, aged 93",-1
6636,U.S. Supreme Court Justice David Souter to retire,-1
14968,"American Express Plans 4,000 Job Cuts",-1
13505,Asexual ants discovered,-1
8154,"Losses almost double for 3, a mobile phone company",-1
14010,Teen charged over 'bomb attempt' at US Christmas celebration,-1
2345,US President Barack Obama test drives Chevy Volt in Michigan,-1
1595,Johnson & Johnson to Acquire Cougar Biotechnology,-1
3031,"Up to ten reported dead, 50 injured after pipeline blast in Iran",-1
1333,Egypt's top envoy in Iraq confirmed killed,-1
5295,Medtronic Posts 69% Decline in Profit,-1
3521,Creationism and intelligent design have no place in the UK science curriculum says UK Government,-1
8247,Supreme Court Nominee Prepares as Confirmation Hearing Nears,-1
12042,"Hurricane Dean forecasted to become ""catastrophic"" Category 5 storm",-1
6383,UN probing allegations US is 'torturing' soldier over leaks,-1
4752,Journal Articles Question Plan for Digital Health Records,-1
3672,"In Mexico, Curbing Violence Before It Is Learned",-1
6082,New drug may treat virtually all viral infections,-1
15234,England win second test of the Ashes series,-1
10326,"Back Service Personnel, First Lady Asks Nation",-1
12915,Constitution changes do not convince most Sunni parties,-1
7545,Aozora and Shinsei Banks Discuss a Merger,-1
1725,"Lindsey Vonn Wins Downhill, Picking Up Second Gold at World Championships",-1
2599,A Label of Pride That Pays,-1
4224,"Magnitude 3.6 earthquake shakes Washington, D.C.",-1
10312,Bank of Japan Steps Up Effort to Ease Credit,-1
12362,Latest Plan Could Give U.S. a Voting Stake in Banks,-1
9037,US political columnist James J. Kilpatrick dies at age 89,-1
195,UK animal welfare group prosecutes woman who threw cat into bin,-1
5525,Europe Offers Glimpse at Difficulties of Financial Reform,-1
10898,"Ontario Votes 2007: Interview with Green candidate Mark Grenier, Welland",-1
3710,Two people confirmed dead in Boston Marathon bombing,-1
409,Second stone circle found one mile from Stonehenge,-1
7532,Fifteen killed by US drone strikes in Northern Waziristan,-1
2760,Baghdad judge clears pair of murdering six foreign soldiers,-1
14250,Michael Jackson to make last public concerts,-1
2680,Duke Outlasts Binghamton,-1
14070,4 States With Unemployment Above 10%,-1
12877,Rice and Straw arrive unannounced in Baghdad,-1
137,Computer professionals celebrate 10th birthday of A.L.I.C.E.,-1
1261,"Canadian sextuplets could get blood transfusion, religion forbids it",-1
13243,Radioactive leakage at Swedish nuclear waste store,-1
15455,"British Unions, Angry Over Use of Foreign Workers, Stage Walkouts",-1
9580,The Local Insurance Agency Hustles in a Slump,-1
15292,Clashes leave 21 dead in Thai capital,-1
554,"After Megamerger with Wyeth, Pfizer Gets to Work",-1
13854,Iran Says U.S. Helped Finance Overthrow Plot,-1
14000,Man accused of Holocaust Museum shooting dies,-1
4904,U.S. Conservatives Lose an Optimist,-1
6833,Italians vote on fertility referendum,-1
10229,"Battling Knee Injury, Nadal Falls to Murray",-1
10921,English Sweep Across Europe Once Again,-1
7258,"UK elections: Hung parliament, Cameron to negotiate with Liberal Democrats",-1
